"","Date","Opponent","Nets","Opp","W","L","Season","DateC"
"1",1999-11-02,"Indiana Pacers",112,119,0,1,"2000","1999-11-02"
"2",1999-11-03,"Cleveland Cavaliers",90,97,0,2,"2000","1999-11-03"
"3",1999-11-05,"Toronto Raptors",92,112,0,3,"2000","1999-11-05"
"4",1999-11-07,"Washington Wizards",112,87,1,3,"2000","1999-11-07"
"5",1999-11-10,"Phoenix Suns",89,104,1,4,"2000","1999-11-10"
"6",1999-11-12,"Charlotte Hornets",92,96,1,5,"2000","1999-11-12"
"7",1999-11-15,"Seattle SuperSonics",92,100,1,6,"2000","1999-11-15"
"8",1999-11-17,"Detroit Pistons",107,109,1,7,"2000","1999-11-17"
"9",1999-11-19,"Boston Celtics",96,109,1,8,"2000","1999-11-19"
"10",1999-11-20,"Philadelphia 76ers",96,100,1,9,"2000","1999-11-20"
"11",1999-11-23,"Sacramento Kings",92,105,1,10,"2000","1999-11-23"
"12",1999-11-24,"Golden State Warriors",92,84,2,10,"2000","1999-11-24"
"13",1999-11-26,"Los Angeles Lakers",80,103,2,11,"2000","1999-11-26"
"14",1999-11-27,"Phoenix Suns",90,129,2,12,"2000","1999-11-27"
"15",1999-11-30,"Washington Wizards",78,85,2,13,"2000","1999-11-30"
"16",1999-12-02,"San Antonio Spurs",94,96,2,14,"2000","1999-12-02"
"17",1999-12-04,"New York Knicks",82,92,2,15,"2000","1999-12-04"
"18",1999-12-06,"Sacramento Kings",109,95,3,15,"2000","1999-12-06"
"19",1999-12-08,"Milwaukee Bucks",107,90,4,15,"2000","1999-12-08"
"20",1999-12-10,"Chicago Bulls",69,71,4,16,"2000","1999-12-10"
"22",1999-12-11,"Houston Rockets",106,94,5,16,"2000","1999-12-11"
"23",1999-12-15,"Cleveland Cavaliers",111,101,6,16,"2000","1999-12-15"
"24",1999-12-16,"Washington Wizards",104,108,6,17,"2000","1999-12-16"
"25",1999-12-18,"Cleveland Cavaliers",98,74,7,17,"2000","1999-12-18"
"26",1999-12-19,"Atlanta Hawks",96,88,8,17,"2000","1999-12-19"
"27",1999-12-21,"Toronto Raptors",87,116,8,18,"2000","1999-12-21"
"28",1999-12-23,"Philadelphia 76ers",99,94,9,18,"2000","1999-12-23"
"29",1999-12-26,"Chicago Bulls",103,76,10,18,"2000","1999-12-26"
"30",1999-12-28,"New York Knicks",89,83,11,18,"2000","1999-12-28"
"31",1999-12-30,"Orlando Magic",102,92,12,18,"2000","1999-12-30"
"32",2000-01-04,"Indiana Pacers",111,116,12,19,"2000","2000-01-04"
"33",2000-01-07,"Vancouver Grizzlies",91,101,12,20,"2000","2000-01-07"
"34",2000-01-08,"Miami Heat",90,89,13,20,"2000","2000-01-08"
"35",2000-01-10,"Orlando Magic",100,94,14,20,"2000","2000-01-10"
"36",2000-01-13,"Los Angeles Clippers",110,105,15,20,"2000","2000-01-13"
"37",2000-01-15,"Boston Celtics",96,99,15,21,"2000","2000-01-15"
"38",2000-01-17,"Philadelphia 76ers",96,101,15,22,"2000","2000-01-17"
"39",2000-01-19,"New York Knicks",89,90,15,23,"2000","2000-01-19"
"40",2000-01-20,"Detroit Pistons",122,120,16,23,"2000","2000-01-20"
"41",2000-01-22,"Dallas Mavericks",98,95,17,23,"2000","2000-01-22"
"43",2000-01-24,"Portland Trail Blazers",87,101,17,24,"2000","2000-01-24"
"44",2000-01-26,"Seattle SuperSonics",92,95,17,25,"2000","2000-01-26"
"45",2000-01-27,"Vancouver Grizzlies",106,108,17,26,"2000","2000-01-27"
"46",2000-01-29,"Los Angeles Clippers",93,98,17,27,"2000","2000-01-29"
"47",2000-02-02,"Atlanta Hawks",89,97,17,28,"2000","2000-02-02"
"48",2000-02-04,"Boston Celtics",95,100,17,29,"2000","2000-02-04"
"49",2000-02-06,"Golden State Warriors",110,90,18,29,"2000","2000-02-06"
"50",2000-02-08,"Boston Celtics",131,113,19,29,"2000","2000-02-08"
"51",2000-02-09,"Philadelphia 76ers",90,92,19,30,"2000","2000-02-09"
"52",2000-02-15,"Atlanta Hawks",86,103,19,31,"2000","2000-02-15"
"53",2000-02-18,"Miami Heat",91,84,20,31,"2000","2000-02-18"
"54",2000-02-20,"Minnesota Timberwolves",91,89,21,31,"2000","2000-02-20"
"55",2000-02-22,"Los Angeles Lakers",89,97,21,32,"2000","2000-02-22"
"56",2000-02-23,"Miami Heat",85,99,21,33,"2000","2000-02-23"
"57",2000-02-26,"Charlotte Hornets",104,93,22,33,"2000","2000-02-26"
"58",2000-02-28,"Utah Jazz",101,106,22,34,"2000","2000-02-28"
"59",2000-03-01,"Denver Nuggets",94,81,23,34,"2000","2000-03-01"
"60",2000-03-02,"Dallas Mavericks",103,102,24,34,"2000","2000-03-02"
"61",2000-03-04,"Houston Rockets",92,99,24,35,"2000","2000-03-04"
"62",2000-03-06,"San Antonio Spurs",104,106,24,36,"2000","2000-03-06"
"64",2000-03-08,"Portland Trail Blazers",115,103,25,36,"2000","2000-03-08"
"65",2000-03-10,"Milwaukee Bucks",108,80,26,36,"2000","2000-03-10"
"66",2000-03-12,"Orlando Magic",129,91,27,36,"2000","2000-03-12"
"67",2000-03-18,"Milwaukee Bucks",92,90,28,36,"2000","2000-03-18"
"68",2000-03-19,"Utah Jazz",88,92,28,37,"2000","2000-03-19"
"69",2000-03-21,"Toronto Raptors",100,93,29,37,"2000","2000-03-21"
"70",2000-03-22,"Charlotte Hornets",103,119,29,38,"2000","2000-03-22"
"71",2000-03-24,"Minnesota Timberwolves",115,116,29,39,"2000","2000-03-24"
"72",2000-03-26,"Denver Nuggets",110,112,29,40,"2000","2000-03-26"
"73",2000-03-28,"Indiana Pacers",111,106,30,40,"2000","2000-03-28"
"74",2000-03-30,"Toronto Raptors",107,103,31,40,"2000","2000-03-30"
"75",2000-03-31,"Orlando Magic",97,103,31,41,"2000","2000-03-31"
"76",2000-04-02,"Detroit Pistons",92,113,31,42,"2000","2000-04-02"
"77",2000-04-04,"Washington Wizards",93,102,31,43,"2000","2000-04-04"
"78",2000-04-05,"Indiana Pacers",101,105,31,44,"2000","2000-04-05"
"79",2000-04-07,"Miami Heat",85,103,31,45,"2000","2000-04-07"
"80",2000-04-08,"Milwaukee Bucks",101,109,31,46,"2000","2000-04-08"
"81",2000-04-11,"Chicago Bulls",93,100,31,47,"2000","2000-04-11"
"82",2000-04-12,"New York Knicks",89,91,31,48,"2000","2000-04-12"
"83",2000-04-14,"Orlando Magic",88,96,31,49,"2000","2000-04-14"
"85",2000-04-18,"Atlanta Hawks",109,111,31,50,"2000","2000-04-18"
"86",2000-04-19,"Cleveland Cavaliers",108,111,31,51,"2000","2000-04-19"
"110",2000-10-31,"Cleveland Cavaliers",82,86,0,1,"2001","2000-10-31"
"21",2000-11-03,"Chicago Bulls",92,82,1,1,"2001","2000-11-03"
"310",2000-11-04,"Charlotte Hornets",87,98,1,2,"2001","2000-11-04"
"42",2000-11-08,"Washington Wizards",102,86,2,2,"2001","2000-11-08"
"510",2000-11-09,"Detroit Pistons",94,108,2,3,"2001","2000-11-09"
"63",2000-11-11,"Seattle SuperSonics",126,91,3,3,"2001","2000-11-11"
"710",2000-11-13,"Portland Trail Blazers",82,94,3,4,"2001","2000-11-13"
"84",2000-11-15,"Miami Heat",93,91,4,4,"2001","2000-11-15"
"91",2000-11-18,"Indiana Pacers",97,92,5,4,"2001","2000-11-18"
"101",2000-11-20,"Los Angeles Clippers",86,85,6,4,"2001","2000-11-20"
"111",2000-11-22,"Phoenix Suns",85,97,6,5,"2001","2000-11-22"
"121",2000-11-24,"Utah Jazz",85,97,6,6,"2001","2000-11-24"
"131",2000-11-25,"Portland Trail Blazers",84,86,6,7,"2001","2000-11-25"
"141",2000-11-28,"Utah Jazz",92,98,6,8,"2001","2000-11-28"
"151",2000-11-29,"Detroit Pistons",76,97,6,9,"2001","2000-11-29"
"161",2000-12-01,"Orlando Magic",80,83,6,10,"2001","2000-12-01"
"171",2000-12-02,"Orlando Magic",74,95,6,11,"2001","2000-12-02"
"181",2000-12-05,"Indiana Pacers",64,88,6,12,"2001","2000-12-05"
"191",2000-12-06,"Milwaukee Bucks",87,109,6,13,"2001","2000-12-06"
"201",2000-12-08,"Phoenix Suns",86,84,7,13,"2001","2000-12-08"
"221",2000-12-10,"Dallas Mavericks",73,99,7,14,"2001","2000-12-10"
"231",2000-12-12,"Minnesota Timberwolves",116,94,8,14,"2001","2000-12-12"
"241",2000-12-16,"Atlanta Hawks",89,83,9,14,"2001","2000-12-16"
"251",2000-12-17,"Sacramento Kings",79,95,9,15,"2001","2000-12-17"
"261",2000-12-20,"Boston Celtics",86,99,9,16,"2001","2000-12-20"
"271",2000-12-21,"Milwaukee Bucks",78,80,9,17,"2001","2000-12-21"
"281",2000-12-23,"Miami Heat",80,86,9,18,"2001","2000-12-23"
"291",2000-12-26,"Atlanta Hawks",76,81,9,19,"2001","2000-12-26"
